UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:37 ?        00:00:04 /sbin/init
root           2       0  0 15:37 ?        00:00:00 [kthreadd]
root           3       2  0 15:37 ?        00:00:00 [rcu_gp]
root           4       2  0 15:37 ?        00:00:00 [rcu_par_gp]
root           5       2  0 15:37 ?        00:00:00 [netns]
root           7       2  0 15:37 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 15:37 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 15:37 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 15:37 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 15:37 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 15:37 ?        00:00:04 [rcu_sched]
root          14       2  0 15:37 ?        00:00:00 [migration/0]
root          15       2  0 15:37 ?        00:00:00 [idle_inject/0]
root          17       2  0 15:37 ?        00:00:00 [cpuhp/0]
root          18       2  0 15:37 ?        00:00:00 [cpuhp/1]
root          19       2  0 15:37 ?        00:00:00 [idle_inject/1]
root          20       2  0 15:37 ?        00:00:00 [migration/1]
root          21       2  0 15:37 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 15:37 ?        00:00:00 [kworker/1:0H-events_highpri]
root          24       2  0 15:37 ?        00:00:00 [cpuhp/2]
root          25       2  0 15:37 ?        00:00:00 [idle_inject/2]
root          26       2  0 15:37 ?        00:00:00 [migration/2]
root          27       2  0 15:37 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 15:37 ?        00:00:00 [kworker/2:0-cgroup_destroy]
root          29       2  0 15:37 ?        00:00:00 [kworker/2:0H-events_highpri]
root          30       2  0 15:37 ?        00:00:00 [cpuhp/3]
root          31       2  0 15:37 ?        00:00:00 [idle_inject/3]
root          32       2  0 15:37 ?        00:00:00 [migration/3]
root          33       2  0 15:37 ?        00:00:00 [ksoftirqd/3]
root          35       2  0 15:37 ?        00:00:00 [kworker/3:0H-events_highpri]
root          36       2  0 15:37 ?        00:00:00 [cpuhp/4]
root          37       2  0 15:37 ?        00:00:00 [idle_inject/4]
root          38       2  0 15:37 ?        00:00:00 [migration/4]
root          39       2  0 15:37 ?        00:00:00 [ksoftirqd/4]
root          41       2  0 15:37 ?        00:00:00 [kworker/4:0H-events_highpri]
root          42       2  0 15:37 ?        00:00:00 [cpuhp/5]
root          43       2  0 15:37 ?        00:00:00 [idle_inject/5]
root          44       2  0 15:37 ?        00:00:00 [migration/5]
root          45       2  0 15:37 ?        00:00:00 [ksoftirqd/5]
root          47       2  0 15:37 ?        00:00:00 [kworker/5:0H-events_highpri]
root          48       2  0 15:37 ?        00:00:00 [kdevtmpfs]
root          49       2  0 15:37 ?        00:00:00 [inet_frag_wq]
root          55       2  0 15:37 ?        00:00:00 [kauditd]
root          56       2  0 15:37 ?        00:00:00 [khungtaskd]
root          57       2  0 15:37 ?        00:00:00 [oom_reaper]
root          58       2  0 15:37 ?        00:00:00 [writeback]
root          59       2  0 15:37 ?        00:00:00 [kcompactd0]
root          60       2  0 15:37 ?        00:00:00 [ksmd]
root          61       2  0 15:37 ?        00:00:00 [khugepaged]
root         107       2  0 15:37 ?        00:00:00 [kintegrityd]
root         108       2  0 15:37 ?        00:00:00 [kblockd]
root         109       2  0 15:37 ?        00:00:00 [blkcg_punt_bio]
root         110       2  0 15:37 ?        00:00:00 [tpm_dev_wq]
root         111       2  0 15:37 ?        00:00:00 [ata_sff]
root         112       2  0 15:37 ?        00:00:00 [md]
root         113       2  0 15:37 ?        00:00:00 [edac-poller]
root         114       2  0 15:37 ?        00:00:00 [devfreq_wq]
root         115       2  0 15:37 ?        00:00:00 [watchdogd]
root         117       2  0 15:37 ?        00:00:00 [kworker/3:1H-kblockd]
root         118       2  0 15:37 ?        00:00:00 [kswapd0]
root         119       2  0 15:37 ?        00:00:00 [ecryptfs-kthrea]
root         121       2  0 15:37 ?        00:00:00 [kthrotld]
root         122       2  0 15:37 ?        00:00:00 [irq/49-ACPI:Ged]
root         123       2  0 15:37 ?        00:00:00 [acpi_thermal_pm]
root         125       2  0 15:37 ?        00:00:00 [mld]
root         126       2  0 15:37 ?        00:00:00 [ipv6_addrconf]
root         135       2  0 15:37 ?        00:00:00 [kstrp]
root         138       2  0 15:37 ?        00:00:00 [zswap-shrink]
root         139       2  0 15:37 ?        00:00:00 [kworker/u13:0]
root         143       2  0 15:37 ?        00:00:00 [cryptd]
root         181       2  0 15:37 ?        00:00:00 [charger_manager]
root         233       2  0 15:37 ?        00:00:00 [kworker/2:1H-kblockd]
root         235       2  0 15:37 ?        00:00:00 [kworker/1:1H-kblockd]
root         241       2  0 15:37 ?        00:00:00 [kworker/5:1H-kblockd]
root         251       2  0 15:37 ?        00:00:00 [kworker/4:1H-kblockd]
